Name,Modulation Index,Fractional Variability,Fractional Variability Error
4FGL_J1256.1-0547,1.3223557648769335,1.3248885213963097,0.0033512853255137642
4FGL_J0730.3-1141,0.7670375930028811,0.7581565742379369,0.009175092339675395
4FGL_J0237.8+2848,1.1357852118390726,1.1320822517739313,0.008976575827278177
4FGL_J1048.4+7143,1.1012376822048058,1.1003554544861431,0.006782620303001696
4FGL_J1800.6+7828,0.9696696599232058,0.9672279873619241,0.00697335607771421
4FGL_J2000.0+6508,0.5717391616386738,0.5533994053911889,0.010757244728271775
4FGL_J1555.7+1111,0.31914431684752737,0.29394785403461726,0.009287772200542166
4FGL_J2232.6+1143,1.9354418786978211,1.9342153034785994,0.00349908218694317
4FGL_J0457.0-2324,0.6242305525969906,0.621892839947965,0.0049836917164813865
4FGL_J1427.9-4206,0.9407703016347687,0.9420613547613265,0.00330219070041049
4FGL_J0449.4-4350,0.5475400177639379,0.5287691152227187,0.010599222633309924
4FGL_J1427.0+2348,0.37625915636317725,0.34862129894873245,0.01053474051432396
4FGL_J1015.0+4926,0.37302513013115346,0.33941816895681726,0.011602588158482141
4FGL_J2329.3-4955,1.3421020184129182,1.3429859637748787,0.007631736489309038
4FGL_J0509.4+0542,0.7227121174292995,0.7004059036236892,0.013392206613774493
4FGL_J0108.6+0134,1.182715567742941,1.1748432137759712,0.005196357272366781
4FGL_J1512.8-0906,1.1236629918409526,1.1251363880955214,0.004011644775248069
4FGL_J1635.2+3808,1.1265207723703432,1.1264485197629102,0.005856039852376371
4FGL_J0428.6-3756,0.7687893323304632,0.7656940071280208,0.0062955728579379144
4FGL_J1517.7-2422,0.5220801255201765,0.49692103550896266,0.011918739519900245
4FGL_J2158.8-3013,0.45939253401913743,0.4474648478117664,0.007816271420160614
4FGL_J1224.9+2122,1.7577731669590886,1.7613304757136734,0.005603828686946644
4FGL_J1104.4+3812,0.39477191331024003,0.38937924964179527,0.0050735814133872625
4FGL_J1653.8+3945,0.3583800050514449,0.32987821593668587,0.010440796819645992
4FGL_J0210.7-5101,1.2225963607638075,1.221916135826147,0.006987722670357854
4FGL_J0238.6+1637,1.20353230289062,1.199260738596902,0.010605058038069215
4FGL_J1504.4+1029,1.0603002035218014,1.050450652976998,0.005572862886611629
4FGL_J0112.1+2245,0.5986240113189748,0.5834865211755675,0.010147100541050613
4FGL_J0957.6+5523,0.13923160490042333,0.07424264687117016,0.011779686331756287
4FGL_J0538.8-4405,0.7995279123437745,0.7977293585707823,0.0055741093481270765
4FGL_J2253.9+1609,1.6857555757073068,1.6898682914393837,0.002081229082739444
4FGL_J2202.7+4216,0.979285249499653,0.9797384759668335,0.004503211217826597
4FGL_J1833.6-2103,1.663806089503013,1.667196998134082,0.0040187908956403895
4FGL_J0348.5-2749,1.3533748034998938,1.3567631993433598,0.005499878367580591
4FGL_J0222.6+4302,0.6277932521779771,0.6164193019835467,0.009138667009121693
4FGL_J1217.9+3007,0.5341828483395425,0.5106993888321799,0.011667958710117055
4FGL_J1159.5+2914,1.1722005094108232,1.1732729684796097,0.005202432855893502
4FGL_J2025.6-0735,1.190320275265184,1.187577187950146,0.009395183646535799
4FGL_J0521.7+2112,0.6062705146392458,0.577654877686542,0.013702765279777984
4FGL_J0721.9+7120,0.6087668494528816,0.6019647820670897,0.007198330810026854
