"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","136.84","1.04e-7","1.33e-8","-2.14","-","154.13","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","96.75","8.21e-8","1.40e-8","-2.14","-","133.34","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","73.44","7.55e-8","1.28e-8","-2.14","-","106.67","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","65","8.16e-8","1.41e-8","-2.14","-","81.46","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","59.86","6.59e-8","1.24e-8","-2.14","-","62.35","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","182.23","1.41e-7","1.60e-8","-2.14","-","51.69","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","161.46","1.41e-7","1.70e-8","-2.14","-","46.94","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","69.42","8.11e-8","1.42e-8","-2.14","-","49.17","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","283.51","1.79e-7","1.70e-8","-2.14","-","62.46","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","30.49","4.10e-8","1.06e-8","-2.14","-","85.57","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","321.3","2.03e-7","1.90e-8","-2.14","-","114.14","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","119.97","1.03e-7","1.47e-8","-2.14","-","142.40","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","31.06","4.88e-8","1.22e-8","-2.14","-","155.50","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","197.01","1.44e-7","1.70e-8","-2.14","-","137.78","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","279","1.67e-7","1.70e-8","-2.14","-","111.35","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","337.84","1.88e-7","1.70e-8","-2.14","-","85.56","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","229.42","1.54e-7","1.60e-8","-2.14","-","65.07","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","554.95","2.84e-7","2.10e-8","-2.14","-","53.05","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","268.41","1.81e-7","1.80e-8","-2.14","-","47.39","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","459.99","2.39e-7","1.90e-8","-2.14","-","48.04","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","315.66","1.86e-7","1.70e-8","-2.14","-","59.33","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","520.52","2.62e-7","2.00e-8","-2.14","-","81.01","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","579","2.76e-7","2.00e-8","-2.14","-","108.97","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","145","1.17e-7","1.60e-8","-2.14","-","137.87","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","224.3","1.60e-7","1.60e-8","-2.14","-","155.67","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","248.04","1.64e-7","1.70e-8","-2.14","-","142.02","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","67.39","6.98e-8","1.27e-8","-2.14","-","116.05","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","63.89","8.07e-8","1.45e-8","-2.14","-","89.82","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","136.95","1.09e-7","1.46e-8","-2.14","-","68.07","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","59.44","7.68e-8","1.46e-8","-2.14","-","54.58","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","125.45","1.26e-7","1.70e-8","-2.14","-","48.02","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","294.75","1.84e-7","1.70e-8","-2.14","-","47.27","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","324.74","1.71e-7","1.60e-8","-2.14","-","56.52","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","651.26","3.19e-7","2.10e-8","-2.14","-","76.64","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","1976.5","6.11e-7","2.60e-8","-2.14","-","103.84","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","1737.57","5.50e-7","2.50e-8","-2.14","-","133.08","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","989.66","3.83e-7","2.30e-8","-2.14","-","154.58","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","541.75","3.08e-7","2.20e-8","-2.14","-","145.99","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","781.28","3.41e-7","2.10e-8","-2.14","-","120.75","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","1151.5","4.74e-7","2.50e-8","-2.14","-","94.22","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","1084.83","4.18e-7","2.20e-8","-2.14","-","71.34","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","722.33","3.61e-7","2.30e-8","-2.14","-","56.33","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","808.36","3.49e-7","2.20e-8","-2.14","-","48.81","1e-8","0","bin43.log"
"Mar 01 2012","2455988.499988426","352339201","1300.69","4.70e-7","2.40e-8","-2.14","-","46.81","1e-8","0","bin44.log"
"Mar 31 2012","2456018.499988426","354931201","1792.16","6.02e-7","2.60e-8","-2.14","-","54.05","1e-8","0","bin45.log"
"Apr 30 2012","2456048.499988426","357523201","966.65","4.18e-7","2.40e-8","-2.14","-","72.48","1e-8","0","bin46.log"
"May 30 2012","2456078.499988426","360115201","1333.89","4.57e-7","2.30e-8","-2.14","-","98.78","1e-8","0","bin47.log"
"Jun 29 2012","2456108.499988426","362707201","586.02","2.88e-7","2.10e-8","-2.14","-","128.11","1e-8","0","bin48.log"
"Jul 29 2012","2456138.499976852","365299201","803.94","3.65e-7","2.20e-8","-2.14","-","152.36","1e-8","0","bin49.log"
