"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","360.08","9.51e-8","1.05e-8","-1.9","-","36.81","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","291.28","7.22e-8","8.40e-9","-1.9","-","57.68","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","286.96","8.40e-8","9.80e-9","-1.9","-","83.15","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","319","8.78e-8","9.50e-9","-1.9","-","105.97","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","340.7","8.19e-8","8.90e-9","-1.9","-","119.76","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","375.91","1.04e-7","1.08e-8","-1.9","-","123.02","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","332.72","8.51e-8","9.10e-9","-1.9","-","122.58","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","233.68","8.45e-8","1.04e-8","-1.9","-","119.77","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","351.87","9.04e-8","9.20e-9","-1.9","-","109.58","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","345.4","8.60e-8","9.60e-9","-1.9","-","89.92","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","379.86","8.56e-8","8.90e-9","-1.9","-","64.07","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","239.09","8.21e-8","9.60e-9","-1.9","-","39.98","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","287.96","7.41e-8","8.80e-9","-1.9","-","34.74","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","324.25","8.21e-8","8.90e-9","-1.9","-","53.41","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","304.19","7.26e-8","8.30e-9","-1.9","-","78.73","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","378.75","8.22e-8","8.70e-9","-1.9","-","102.45","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","347.91","8.12e-8","9.00e-9","-1.9","-","118.21","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","290.45","7.48e-8","8.60e-9","-1.9","-","122.92","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","414.48","8.45e-8","8.60e-9","-1.9","-","122.73","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","409.85","9.46e-8","9.30e-9","-1.9","-","120.65","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","314.64","7.50e-8","8.40e-9","-1.9","-","112.07","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","372.94","8.97e-8","9.40e-9","-1.9","-","93.94","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","361.68","8.36e-8","8.80e-9","-1.9","-","68.76","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","408.45","8.56e-8","9.10e-9","-1.9","-","43.47","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","284.95","7.81e-8","8.80e-9","-1.9","-","33.48","1e-8","0","bin25.log"
