"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","3608.94","2.50e-6","9.00e-8","-2.12","-","87.47","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","541.59","6.21e-7","4.80e-8","-2.12","-","80.79","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","1090.48","7.75e-7","4.60e-8","-2.12","-","74.25","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","1640.94","1.04e-6","5.20e-8","-2.12","-","67.85","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","1598.33","9.67e-7","5.00e-8","-2.12","-","61.60","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","775.16","6.50e-7","4.50e-8","-2.12","-","55.52","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","329.55","4.46e-7","4.50e-8","-2.12","-","49.61","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","278.19","4.13e-7","4.60e-8","-2.12","-","43.91","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","136.02","2.69e-7","3.80e-8","-2.12","-","38.43","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","553.35","4.89e-7","4.10e-8","-2.12","-","33.25","1e-8","0","bin10.log"
"Oct 24 2008","2454764","246542401","860.91","7.11e-7","4.60e-8","-2.12","-","24.30","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","1674.78","1.10e-6","5.00e-8","-2.12","-","21.10","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","634.15","5.90e-7","4.50e-8","-2.12","-","19.37","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","283.8","4.27e-7","4.60e-8","-2.12","-","19.57","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","464.26","5.96e-7","5.20e-8","-2.12","-","21.74","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","1478.8","1.33e-6","7.00e-8","-2.12","-","25.49","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","2191.49","1.47e-6","6.00e-8","-2.12","-","30.34","1e-8","0","bin18.log"
