"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","1226.75","3.62e-7","1.90e-8","-2.1","-","72.66","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","1570.58","3.84e-7","1.90e-8","-2.1","-","101.00","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","1632.96","4.28e-7","2.00e-8","-2.1","-","129.33","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","3848.29","6.79e-7","2.20e-8","-2.1","-","159.37","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","2739.78","6.11e-7","2.30e-8","-2.1","-","168.14","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","3881.7","7.38e-7","2.40e-8","-2.1","-","135.22","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","1538.2","4.08e-7","1.90e-8","-2.1","-","104.88","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","820.68","2.91e-7","1.80e-8","-2.1","-","77.74","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","1044.41","3.14e-7","1.80e-8","-2.1","-","52.18","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","800.07","2.97e-7","1.80e-8","-2.1","-","26.46","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","828.85","2.56e-7","1.60e-8","-2.1","-","12.63","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","385.11","1.90e-7","1.60e-8","-2.1","-","38.18","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","485.36","1.83e-7","1.40e-8","-2.1","-","67.61","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","393.35","2.16e-7","1.80e-8","-2.1","-","96.09","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","830","3.10e-7","1.90e-8","-2.1","-","124.30","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","1498.93","4.23e-7","2.10e-8","-2.1","-","153.94","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","724.49","2.94e-7","2.00e-8","-2.1","-","173.94","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","781.54","2.57e-7","1.60e-8","-2.1","-","140.85","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","377.98","2.10e-7","1.90e-8","-2.1","-","109.93","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","466.22","1.76e-7","1.40e-8","-2.1","-","82.30","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","74.78","8.57e-8","1.48e-8","-2.1","-","56.62","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","439.25","1.56e-7","1.30e-8","-2.1","-","30.94","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","42.54","4.58e-8","1.03e-8","-2.1","-","11.34","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","100.87","8.27e-8","1.27e-8","-2.1","-","33.06","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","96.59","6.73e-8","1.07e-8","-2.1","-","62.52","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","24.68","4.84e-8","1.28e-8","-2.1","-","91.18","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","61.29","3.93e-8","7.70e-9","-2.1","-","119.32","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","34.87","4.61e-8","1.19e-8","-2.1","-","148.59","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","104.21","6.77e-8","1.04e-8","-2.1","-","179.64","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","37.36","4.46e-8","1.12e-8","-2.1","-","146.56","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","15.68","2.68e-8","8.80e-9","-2.1","-","115.09","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","30.24","3.12e-8","8.50e-9","-2.1","-","86.93","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","87.48","6.73e-8","1.14e-8","-2.1","-","61.07","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","71.84","5.85e-8","1.04e-8","-2.1","-","35.46","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","153.1","1.26e-7","1.60e-8","-2.1","-","12.39","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","335.52","1.33e-7","1.20e-8","-2.1","-","28.04","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","178.73","1.13e-7","1.41e-8","-2.1","-","57.40","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","262.99","1.44e-7","1.40e-8","-2.1","-","86.24","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","1795.89","5.43e-7","2.40e-8","-2.1","-","114.38","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","2892.11","7.30e-7","2.70e-8","-2.1","-","143.32","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","3683.98","7.69e-7","2.50e-8","-2.1","-","174.57","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","590.5","2.90e-7","2.10e-8","-2.1","-","152.32","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","1169.02","3.23e-7","1.70e-8","-2.1","-","120.35","1e-8","0","bin43.log"
"Mar 01 2012","2455988.499988426","352339201","1205.66","5.12e-7","2.80e-8","-2.1","-","91.63","1e-8","0","bin44.log"
"Mar 31 2012","2456018.499988426","354931201","1768.68","4.52e-7","2.00e-8","-2.1","-","65.51","1e-8","0","bin45.log"
"Apr 30 2012","2456048.499988426","357523201","829.72","3.49e-7","2.30e-8","-2.1","-","39.98","1e-8","0","bin46.log"
"May 30 2012","2456078.499988426","360115201","556.29","2.17e-7","1.70e-8","-2.1","-","15.24","1e-8","0","bin47.log"
"Jun 29 2012","2456108.499988426","362707201","226.12","1.28e-7","1.40e-8","-2.1","-","23.19","1e-8","0","bin48.log"
"Jul 29 2012","2456138.499976852","365299201","262.25","1.58e-7","1.60e-8","-2.1","-","52.25","1e-8","0","bin49.log"
"Aug 28 2012","2456168.499976852","367891201","576.13","2.08e-7","1.50e-8","-2.1","-","81.28","1e-8","0","bin50.log"
"Sep 27 2012","2456198.499976852","370483201","234.72","1.68e-7","1.90e-8","-2.1","-","109.45","1e-8","0","bin51.log"
"Oct 27 2012","2456228.499976852","373075201","741.7","2.28e-7","1.50e-8","-2.1","-","138.12","1e-8","0","bin52.log"
"Nov 26 2012","2456258.499976852","375667201","2103.12","6.50e-7","2.80e-8","-2.1","-","168.92","1e-8","0","bin53.log"
"Dec 26 2012","2456288.499976852","378259201","2583.19","5.97e-7","2.30e-8","-2.1","-","158.12","1e-8","0","bin54.log"
"Jan 25 2013","2456318.499976852","380851201","1390.84","4.27e-7","2.20e-8","-2.1","-","125.73","1e-8","0","bin55.log"
"Feb 24 2013","2456348.499976852","383443201","1234.19","3.43e-7","1.80e-8","-2.1","-","96.42","1e-8","0","bin56.log"
"Mar 26 2013","2456378.499976852","386035201","838.4","2.67e-7","1.70e-8","-2.1","-","69.98","1e-8","0","bin57.log"
"Apr 25 2013","2456408.499976852","388627201","900.91","3.90e-7","2.50e-8","-2.1","-","44.47","1e-8","0","bin58.log"
"May 25 2013","2456438.499976852","391219201","1657.08","4.23e-7","2.10e-8","-2.1","-","19.04","1e-8","0","bin59.log"
"Jun 24 2013","2456468.499976852","393811201","1169.37","4.29e-7","2.40e-8","-2.1","-","18.66","1e-8","0","bin60.log"
"Jul 24 2013","2456498.499976852","396403201","1980","4.28e-7","1.90e-8","-2.1","-","47.08","1e-8","0","bin61.log"
"Aug 23 2013","2456528.499976852","398995201","887.05","3.75e-7","2.40e-8","-2.1","-","76.29","1e-8","0","bin62.log"
"Sep 22 2013","2456558.499976852","401587201","1928.77","4.57e-7","2.00e-8","-2.1","-","104.54","1e-8","0","bin63.log"
"Oct 22 2013","2456588.499976852","404179201","2329.46","5.78e-7","2.40e-8","-2.1","-","132.99","1e-8","0","bin64.log"
