"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","1119.77","3.62e-7","1.90e-8","-2.33","-","101.06","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","304.18","1.82e-7","1.90e-8","-2.33","-","76.35","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","160.86","1.05e-7","1.35e-8","-2.33","-","53.09","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","217.14","1.45e-7","1.70e-8","-2.33","-","29.92","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","257.24","1.44e-7","1.40e-8","-2.33","-","19.62","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","165.04","1.23e-7","1.50e-8","-2.33","-","43.57","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","111.74","1.01e-7","1.50e-8","-2.33","-","74.16","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","128.4","1.16e-7","1.76e-8","-2.33","-","104.08","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","299.8","1.70e-7","1.80e-8","-2.33","-","133.33","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","375.59","2.02e-7","1.80e-8","-2.33","-","162.75","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","118.23","1.05e-7","1.54e-8","-2.33","-","164.03","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","1196.49","3.82e-7","2.00e-8","-2.33","-","133.86","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","1402.41","4.87e-7","2.60e-8","-2.33","-","105.66","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","1138.48","4.11e-7","2.30e-8","-2.33","-","80.51","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","273.92","1.62e-7","1.70e-8","-2.33","-","57.14","1e-8","0","bin15.log"
