"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","3.12","< 2.91e-8","-","-","-","84.55","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","8.64","2.30e-8","9.90e-9","-2.1","-","57.05","1e-8","0","bin2.log"
"Nov 17 2008","2454788.5","248659201","5.41","1.83e-8","1.01e-8","-2.1","-","22.98","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","8.03","2.03e-8","9.00e-9","-2.1","-","49.35","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","5.23","1.33e-8","8.34e-9","-2.1","-","80.52","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","5.94","1.70e-8","8.63e-9","-2.1","-","107.12","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","6.45","1.70e-8","9.22e-9","-2.1","-","125.27","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","31.02","3.74e-8","1.04e-8","-2.1","-","134.06","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","66.67","7.63e-8","1.36e-8","-2.1","-","135.34","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","316.43","1.83e-7","1.70e-8","-2.1","-","129.08","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","1033.53","3.47e-7","1.90e-8","-2.1","-","112.94","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","107.23","1.01e-7","1.48e-8","-2.1","-","89.15","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","252.35","1.53e-7","1.50e-8","-2.1","-","61.93","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","223.56","1.55e-7","1.70e-8","-2.1","-","34.59","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","258.78","1.48e-7","1.50e-8","-2.1","-","20.94","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","406.48","2.09e-7","1.80e-8","-2.1","-","43.94","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","428.83","2.60e-7","2.00e-8","-2.1","-","75.25","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","585.78","2.50e-7","1.70e-8","-2.1","-","103.01","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","378.35","2.44e-7","2.10e-8","-2.1","-","122.79","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","632.83","2.54e-7","1.70e-8","-2.1","-","133.13","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","3613.35","1.01e-6","3.30e-8","-2.1","-","135.59","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","619.67","2.58e-7","1.80e-8","-2.1","-","130.86","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","720.49","3.24e-7","2.10e-8","-2.1","-","116.44","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","619.91","2.68e-7","1.90e-8","-2.1","-","93.65","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","442.01","2.08e-7","1.70e-8","-2.1","-","66.79","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","262.11","2.25e-7","2.30e-8","-2.1","-","39.14","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","374.12","1.93e-7","1.60e-8","-2.1","-","20.45","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","258.12","2.03e-7","2.00e-8","-2.1","-","38.69","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","410.96","1.92e-7","1.50e-8","-2.1","-","69.85","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","231.92","1.94e-7","1.90e-8","-2.1","-","98.65","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","139.01","1.07e-7","1.39e-8","-2.1","-","120.01","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","345.32","2.89e-7","2.50e-8","-2.1","-","131.97","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","671.95","3.36e-7","2.20e-8","-2.1","-","135.64","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","572.48","2.53e-7","1.80e-8","-2.1","-","132.32","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","870.22","4.12e-7","2.50e-8","-2.1","-","119.67","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","828.84","3.06e-7","1.80e-8","-2.1","-","98.04","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","217.64","1.81e-7","2.00e-8","-2.1","-","71.63","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","343.92","1.95e-7","1.60e-8","-2.1","-","43.86","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","526.04","3.02e-7","2.20e-8","-2.1","-","21.57","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","1612","5.66e-7","2.50e-8","-2.1","-","33.72","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","1829.22","5.74e-7","2.40e-8","-2.1","-","64.37","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","1106.31","4.92e-7","2.50e-8","-2.1","-","94.05","1e-8","0","bin43.log"
"Mar 01 2012","2455988.499988426","352339201","1602.43","5.42e-7","2.40e-8","-2.1","-","116.94","1e-8","0","bin44.log"
"Mar 31 2012","2456018.499988426","354931201","745.03","3.99e-7","2.50e-8","-2.1","-","130.55","1e-8","0","bin45.log"
