"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","1096.05","3.30e-7","1.90e-8","-2.02","-","62.57","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","1780.44","4.23e-7","2.00e-8","-2.02","-","90.44","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","1180.56","3.70e-7","2.00e-8","-2.02","-","118.44","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","1184.46","3.13e-7","1.70e-8","-2.02","-","148.43","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","521.11","2.00e-7","1.60e-8","-2.02","-","177.85","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","756.53","2.47e-7","1.60e-8","-2.02","-","146.03","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","307.2","1.48e-7","1.40e-8","-2.02","-","115.82","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","258.48","1.26e-7","1.40e-8","-2.02","-","88.40","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","636.23","2.29e-7","1.60e-8","-2.02","-","61.84","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","981.56","3.19e-7","1.90e-8","-2.02","-","33.99","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","1539.31","3.86e-7","1.90e-8","-2.02","-","5.96","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","2055.38","5.48e-7","2.30e-8","-2.02","-","28.06","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","1110.21","3.02e-7","1.70e-8","-2.02","-","57.58","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","764.23","2.71e-7","1.80e-8","-2.02","-","85.62","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","720.7","2.34e-7","1.60e-8","-2.02","-","113.45","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","1298.28","3.10e-7","1.70e-8","-2.02","-","142.99","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","1158.11","3.53e-7","2.00e-8","-2.02","-","174.90","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","1583.2","3.78e-7","1.80e-8","-2.02","-","151.63","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","2005.62","5.39e-7","2.40e-8","-2.02","-","120.87","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","3938.27","6.51e-7","2.10e-8","-2.02","-","93.07","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","4246.44","8.68e-7","2.90e-8","-2.02","-","66.52","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","5326.28","8.00e-7","2.40e-8","-2.02","-","39.01","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","3203.54","5.69e-7","2.20e-8","-2.02","-","10.07","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","2423.84","5.49e-7","2.30e-8","-2.02","-","22.79","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","1992.88","3.71e-7","1.70e-8","-2.02","-","52.54","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","1085.34","3.48e-7","2.10e-8","-2.02","-","80.78","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","1978.44","3.81e-7","1.70e-8","-2.02","-","108.51","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","2206.24","5.41e-7","2.40e-8","-2.02","-","137.64","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","3338.18","5.68e-7","2.10e-8","-2.02","-","169.31","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","2666.68","5.17e-7","2.10e-8","-2.02","-","157.30","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","2177.32","4.27e-7","1.90e-8","-2.02","-","126.01","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","1655.18","3.58e-7","1.80e-8","-2.02","-","97.77","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","1214.43","3.75e-7","2.10e-8","-2.02","-","71.18","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","1557.71","3.33e-7","1.70e-8","-2.02","-","43.96","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","908.75","3.06e-7","1.90e-8","-2.02","-","15.00","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","1079.49","2.61e-7","1.50e-8","-2.02","-","17.54","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","737.66","2.46e-7","1.70e-8","-2.02","-","47.45","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","648.63","2.12e-7","1.60e-8","-2.02","-","75.94","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","440.11","1.69e-7","1.40e-8","-2.02","-","103.62","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","441.85","1.79e-7","1.50e-8","-2.02","-","132.37","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","525.35","1.76e-7","1.40e-8","-2.02","-","163.64","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","331.28","1.60e-7","1.60e-8","-2.02","-","163.02","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","874.8","2.18e-7","1.40e-8","-2.02","-","131.25","1e-8","0","bin43.log"
