"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","102.9","3.45e-8","6.90e-9","-1.76","-","134.41","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","87.33","4.12e-8","8.50e-9","-1.76","-","105.69","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","100.75","3.52e-8","6.90e-9","-1.76","-","76.31","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","46.56","2.43e-8","6.20e-9","-1.76","-","48.01","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","46.1","2.60e-8","6.70e-9","-1.76","-","30.34","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","87.67","4.08e-8","8.40e-9","-1.76","-","39.26","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","125.38","4.23e-8","8.00e-9","-1.76","-","57.93","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","102.32","4.06e-8","8.10e-9","-1.76","-","76.32","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","79.42","3.38e-8","7.90e-9","-1.76","-","96.13","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","171.92","5.51e-8","8.50e-9","-1.76","-","119.65","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","72.91","3.09e-8","7.20e-9","-1.76","-","145.75","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","95.84","3.51e-8","7.20e-9","-1.76","-","159.57","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","70.27","2.63e-8","6.60e-9","-1.76","-","139.21","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","38.71","1.31e-8","4.67e-9","-1.76","-","110.79","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","73.23","2.70e-8","6.20e-9","-1.76","-","81.45","1e-8","0","bin15.log"
