"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","19.07","3.43e-8","1.00e-8","-2.21","-","108.43","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","92.13","8.11e-8","1.23e-8","-2.21","-","130.39","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","147.61","1.11e-7","1.38e-8","-2.21","-","143.94","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","251.27","1.41e-7","1.40e-8","-2.21","-","144.86","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","95.31","9.07e-8","1.38e-8","-2.21","-","131.78","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","155.26","1.07e-7","1.24e-8","-2.21","-","108.22","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","133.01","1.14e-7","1.42e-8","-2.21","-","79.62","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","226.31","1.53e-7","1.50e-8","-2.21","-","49.89","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","106.95","1.01e-7","1.37e-8","-2.21","-","21.02","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","48.02","6.13e-8","1.26e-8","-2.21","-","15.81","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","93.32","8.21e-8","1.20e-8","-2.21","-","45.11","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","28.52","4.45e-8","1.11e-8","-2.21","-","75.84","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","24.84","3.29e-8","9.50e-9","-2.21","-","103.97","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","27.05","3.50e-8","9.90e-9","-2.21","-","127.06","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","36.85","6.05e-8","1.36e-8","-2.21","-","142.36","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","24.08","4.54e-8","1.20e-8","-2.21","-","145.75","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","75.76","7.51e-8","1.29e-8","-2.21","-","134.97","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","172.96","1.37e-7","1.50e-8","-2.21","-","112.85","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","157.42","1.24e-7","1.50e-8","-2.21","-","84.77","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","56.99","8.26e-8","1.44e-8","-2.21","-","55.08","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","38.76","5.97e-8","1.21e-8","-2.21","-","25.84","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","69.03","7.87e-8","1.33e-8","-2.21","-","12.04","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","73.32","8.36e-8","1.37e-8","-2.21","-","39.70","1e-8","0","bin23.log"
