"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","2349.24","6.00e-7","2.30e-8","-2.19","-","152.72","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","645.43","3.10e-7","2.20e-8","-2.19","-","129.15","1e-8","0","bin2.log"
"Nov 17 2008","2454788.5","248659201","614.75","2.59e-7","1.80e-8","-2.19","-","72.29","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","267.99","1.61e-7","1.60e-8","-2.19","-","40.17","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","466.95","2.10e-7","1.60e-8","-2.19","-","10.21","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","658.96","2.92e-7","2.00e-8","-2.19","-","23.48","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","187.12","1.30e-7","1.40e-8","-2.19","-","51.60","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","38.78","5.26e-8","1.18e-8","-2.19","-","80.29","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","29.08","3.78e-8","9.80e-9","-2.19","-","109.79","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","45.96","4.65e-8","1.05e-8","-2.19","-","138.82","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","170.1","1.16e-7","1.40e-8","-2.19","-","161.78","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","1352.29","4.51e-7","2.30e-8","-2.19","-","156.27","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","807.61","3.73e-7","2.40e-8","-2.19","-","133.53","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","129.28","1.01e-7","1.41e-8","-2.19","-","107.22","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","78.37","8.39e-8","1.48e-8","-2.19","-","77.74","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","45.84","5.54e-8","1.19e-8","-2.19","-","45.81","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","36.39","5.81e-8","1.45e-8","-2.19","-","14.71","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","34.96","4.67e-8","1.15e-8","-2.19","-","18.66","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","3.73","< 3.11e-8","-","-","-","46.66","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","5.37","1.48e-8","9.51e-9","-2.19","-","75.21","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","0.57","< 2.25e-8","-","-","-","104.60","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","14.75","4.23e-8","1.51e-8","-2.19","-","133.92","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","133.03","1.16e-7","1.50e-8","-2.19","-","158.91","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","114.89","1.26e-7","1.90e-8","-2.19","-","159.45","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","226.28","1.34e-7","1.50e-8","-2.19","-","137.81","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","45.56","6.93e-8","1.40e-8","-2.19","-","112.04","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","48.09","6.54e-8","1.29e-8","-2.19","-","83.11","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","0.08","< 2.10e-8","-","-","-","51.47","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","0.05","< 2.02e-8","-","-","-","19.77","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","11.85","2.68e-8","1.02e-8","-2.19","-","14.00","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","12.14","2.67e-8","1.17e-8","-2.19","-","41.73","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","33.11","3.70e-8","9.50e-9","-2.19","-","70.17","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","59.7","6.53e-8","1.38e-8","-2.19","-","99.42","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","211.03","1.39e-7","1.50e-8","-2.19","-","128.92","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","51.64","7.09e-8","1.43e-8","-2.19","-","155.34","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","36.53","4.61e-8","1.18e-8","-2.19","-","162.04","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","25.21","4.99e-8","1.42e-8","-2.19","-","141.99","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","58.08","8.21e-8","1.55e-8","-2.19","-","116.77","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","55.45","7.00e-8","1.35e-8","-2.19","-","88.40","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","13.79","3.76e-8","1.37e-8","-2.19","-","57.11","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","49.11","5.76e-8","1.21e-8","-2.19","-","25.08","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","13.8","3.32e-8","1.30e-8","-2.19","-","9.81","1e-8","0","bin43.log"
"Mar 01 2012","2455988.499988426","352339201","48.23","5.68e-8","1.20e-8","-2.19","-","36.81","1e-8","0","bin44.log"
"Mar 31 2012","2456018.499988426","354931201","87.9","8.46e-8","1.41e-8","-2.19","-","65.15","1e-8","0","bin45.log"
"Apr 30 2012","2456048.499988426","357523201","78.49","8.65e-8","1.50e-8","-2.19","-","94.25","1e-8","0","bin46.log"
"May 30 2012","2456078.499988426","360115201","150.62","1.04e-7","1.34e-8","-2.19","-","123.84","1e-8","0","bin47.log"
"Jun 29 2012","2456108.499988426","362707201","30.73","4.39e-8","1.24e-8","-2.19","-","151.29","1e-8","0","bin48.log"
"Jul 29 2012","2456138.499976852","365299201","5.61","1.83e-8","9.35e-9","-2.19","-","163.72","1e-8","0","bin49.log"
"Aug 28 2012","2456168.499976852","367891201","11.11","3.06e-8","1.25e-8","-2.19","-","146.06","1e-8","0","bin50.log"
"Sep 27 2012","2456198.499976852","370483201","19.98","4.37e-8","1.48e-8","-2.19","-","121.40","1e-8","0","bin51.log"
"Oct 27 2012","2456228.499976852","373075201","89.32","9.61e-8","1.57e-8","-2.19","-","93.59","1e-8","0","bin52.log"
"Nov 26 2012","2456258.499976852","375667201","197.2","1.22e-7","1.50e-8","-2.19","-","62.73","1e-8","0","bin53.log"
"Dec 26 2012","2456288.499976852","378259201","250.05","1.62e-7","1.70e-8","-2.19","-","30.55","1e-8","0","bin54.log"
"Jan 25 2013","2456318.499976852","380851201","29.34","6.19e-8","1.61e-8","-2.19","-","7.10","1e-8","0","bin55.log"
"Feb 24 2013","2456348.499976852","383443201","200.4","1.45e-7","1.70e-8","-2.19","-","31.89","1e-8","0","bin56.log"
"Mar 26 2013","2456378.499976852","386035201","19.25","4.18e-8","1.34e-8","-2.19","-","60.15","1e-8","0","bin57.log"
"Apr 25 2013","2456408.499976852","388627201","12.41","2.99e-8","1.08e-8","-2.19","-","89.10","1e-8","0","bin58.log"
"May 25 2013","2456438.499976852","391219201","1.44","< 2.08e-8","-","-","-","118.70","1e-8","0","bin59.log"
"Jun 24 2013","2456468.499976852","393811201","22.73","4.05e-8","1.12e-8","-2.19","-","146.91","1e-8","0","bin60.log"
"Jul 24 2013","2456498.499976852","396403201","44.77","6.92e-8","1.55e-8","-2.19","-","164.18","1e-8","0","bin61.log"
"Aug 23 2013","2456528.499976852","398995201","141.88","7.08e-8","9.10e-9","-2.19","-","149.99","1e-8","0","bin62.log"
"Sep 22 2013","2456558.499976852","401587201","18","3.00e-8","9.80e-9","-2.19","-","125.93","1e-8","0","bin63.log"
"Oct 22 2013","2456588.499976852","404179201","60.79","9.72e-8","1.87e-8","-2.19","-","98.68","1e-8","0","bin64.log"
"Nov 21 2013","2456618.499976852","406771201","172.89","1.26e-7","1.50e-8","-2.19","-","68.30","1e-8","0","bin65.log"
"Dec 21 2013","2456648.499976852","409363201","325.17","1.80e-7","1.70e-8","-2.19","-","36.11","1e-8","0","bin66.log"
"Jan 20 2014","2456678.499976852","411955201","211.77","1.67e-7","1.90e-8","-2.19","-","7.79","1e-8","0","bin67.log"
"Feb 19 2014","2456708.499976852","414547201","113.06","8.52e-8","1.21e-8","-2.19","-","26.99","1e-8","0","bin68.log"
"Mar 21 2014","2456738.499976852","417139201","132.39","8.56e-8","1.10e-8","-2.19","-","55.18","1e-8","0","bin69.log"
"Apr 20 2014","2456768.499976852","419731201","192.81","1.06e-7","1.27e-8","-2.19","-","83.97","1e-8","0","bin70.log"
"May 20 2014","2456798.499976852","422323201","36.51","5.96e-8","1.45e-8","-2.19","-","113.54","1e-8","0","bin71.log"
"Jun 19 2014","2456828.499976852","424915201","34.39","4.75e-8","1.23e-8","-2.19","-","142.28","1e-8","0","bin72.log"
"Jul 19 2014","2456858.499976852","427507201","243.26","1.01e-7","1.17e-8","-2.19","-","163.24","1e-8","0","bin73.log"
"Aug 18 2014","2456888.499976852","430099201","55.49","5.13e-8","1.06e-8","-2.19","-","153.73","1e-8","0","bin74.log"
"Sep 17 2014","2456918.499976852","432691201","69.91","5.84e-8","1.02e-8","-2.19","-","130.38","1e-8","0","bin75.log"
"Oct 17 2014","2456948.499976852","435283201","0.48","< 1.77e-8","-","-","-","103.68","1e-8","0","bin76.log"
"Nov 16 2014","2456978.499976852","437875201","1.13","< 2.36e-8","-","-","-","73.81","1e-8","0","bin77.log"
"Dec 16 2014","2457008.499976852","440467201","12.87","3.00e-8","1.14e-8","-2.19","-","41.74","1e-8","0","bin78.log"
"Jan 15 2015","2457038.499976852","443059201","4.1","1.32e-8","8.30e-9","-2.19","-","11.37","1e-8","0","bin79.log"
"Feb 14 2015","2457068.499976852","445651201","3.04","< 3.31e-8","-","-","-","22.13","1e-8","0","bin80.log"
"Mar 16 2015","2457098.499976852","448243201","19.81","2.03e-8","6.30e-9","-2.19","-","50.22","1e-8","0","bin81.log"
"Apr 15 2015","2457128.499976852","450835201","18.48","3.53e-8","1.06e-8","-2.19","-","78.88","1e-8","0","bin82.log"
"May 15 2015","2457158.499976852","453427201","10.97","1.74e-8","8.22e-9","-2.19","-","108.35","1e-8","0","bin83.log"
"Jun 14 2015","2457188.499976852","456019201","25.87","4.45e-8","1.19e-8","-2.19","-","137.48","1e-8","0","bin84.log"
"Jul 14 2015","2457218.499965278","458611201","322.13","2.28e-7","2.00e-8","-2.19","-","161.07","1e-8","0","bin85.log"
"Aug 13 2015","2457248.499965278","461203201","494.92","2.46e-7","1.90e-8","-2.19","-","157.20","1e-8","0","bin86.log"
"Sep 12 2015","2457278.499965278","463795201","752.35","4.14e-7","2.70e-8","-2.19","-","134.73","1e-8","0","bin87.log"
"Oct 12 2015","2457308.499965278","466387201","847.72","3.31e-7","2.10e-8","-2.19","-","108.57","1e-8","0","bin88.log"
"Nov 11 2015","2457338.499965278","468979201","363.41","2.62e-7","2.30e-8","-2.19","-","79.24","1e-8","0","bin89.log"
"Dec 11 2015","2457368.499965278","471571201","401.98","2.17e-7","1.90e-8","-2.19","-","47.39","1e-8","0","bin90.log"
"Jan 10 2016","2457398.499965278","474163201","757.5","3.70e-7","2.40e-8","-2.19","-","16.08","1e-8","0","bin91.log"
"Feb 09 2016","2457428.499965278","476755201","489.73","2.82e-7","2.20e-8","-2.19","-","17.34","1e-8","0","bin92.log"
"Mar 10 2016","2457458.499965278","479347201","1543.44","5.15e-7","2.30e-8","-2.19","-","45.28","1e-8","0","bin93.log"
"Apr 09 2016","2457488.499965278","481939201","5105.55","1.21e-6","3.00e-8","-2.19","-","73.81","1e-8","0","bin94.log"
"May 09 2016","2457518.499965278","484531201","1568.1","5.30e-7","2.50e-8","-2.19","-","103.16","1e-8","0","bin95.log"
