"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","85.32","4.21e-8","9.10e-9","-1.85","-","69.01","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","44.96","2.40e-8","6.50e-9","-1.85","-","95.72","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","37.49","3.27e-8","9.00e-9","-1.85","-","122.14","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","7.24","1.51e-8","7.18e-9","-1.85","-","150.40","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","86.14","4.41e-8","9.50e-9","-1.85","-","172.69","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","75.9","4.04e-8","8.40e-9","-1.85","-","143.33","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","30.54","2.33e-8","7.50e-9","-1.85","-","112.27","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","28.63","3.37e-8","9.40e-9","-1.85","-","83.42","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","84.04","5.59e-8","9.60e-9","-1.85","-","55.46","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","45.72","4.31e-8","1.01e-8","-1.85","-","26.53","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","180.92","6.47e-8","9.70e-9","-1.85","-","4.12","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","118.39","7.08e-8","1.18e-8","-1.85","-","35.03","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","287.57","1.10e-7","1.24e-8","-1.85","-","64.16","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","201.73","9.30e-8","1.31e-8","-1.85","-","91.13","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","199.66","9.95e-8","1.36e-8","-1.85","-","117.45","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","136.36","7.89e-8","1.29e-8","-1.85","-","145.28","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","226.75","9.87e-8","1.31e-8","-1.85","-","172.77","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","144.06","6.66e-8","1.12e-8","-1.85","-","148.94","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","67.42","5.18e-8","1.02e-8","-1.85","-","117.53","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","102.23","6.08e-8","1.12e-8","-1.85","-","88.35","1e-8","0","bin20.log"
