"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","0","< 3.37e-8","-","-","-","120.10","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","2.7","< 5.80e-8","-","-","-","126.90","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","3.83","< 6.32e-8","-","-","-","133.68","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","6.93","3.17e-8","2.02e-8","-2.28","-","140.40","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","9.71","5.42e-8","2.37e-8","-2.28","-","147.07","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","14.77","5.13e-8","2.07e-8","-2.28","-","153.63","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","16.66","6.23e-8","2.12e-8","-2.28","-","160.00","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","10.97","4.26e-8","1.95e-8","-2.28","-","165.96","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","23.49","7.45e-8","2.23e-8","-2.28","-","170.72","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","22.75","7.22e-8","2.37e-8","-2.28","-","171.82","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","7.82","3.79e-8","1.98e-8","-2.28","-","168.23","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","46.47","1.48e-7","3.30e-8","-2.28","-","162.64","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","51.04","1.38e-7","3.10e-8","-2.28","-","156.43","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","15.37","6.62e-8","2.34e-8","-2.28","-","149.97","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","71.11","1.33e-7","2.70e-8","-2.28","-","143.38","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","108.02","1.53e-7","2.50e-8","-2.28","-","136.69","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","46.65","9.18e-8","2.36e-8","-2.28","-","129.92","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","67.06","1.37e-7","2.60e-8","-2.28","-","123.08","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","92.45","1.88e-7","3.20e-8","-2.28","-","116.16","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","132.87","2.63e-7","4.00e-8","-2.28","-","109.18","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","95.33","1.92e-7","3.30e-8","-2.28","-","102.12","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","121.49","2.16e-7","3.20e-8","-2.28","-","95.01","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","124.47","1.86e-7","2.90e-8","-2.28","-","87.85","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","167","2.40e-7","3.00e-8","-2.28","-","80.66","1e-8","0","bin24.log"
